Name,Specification,County,Address,City,State,Zip,Information,Recovery Informed Institutional Services,Recovery Community Centers,Collegiate Recovery Programs,Recovery/ Drug Courts,Mutual-Aid Organizations,Recovery Community Organizations,Prevention Organizations,Peer Recovery Services,Harm Reduction Organizations,Re-Entry Services Organizations,Recovery Residences,Treatment Services,Advocacy Organizations,Recovery High Schools,Website,Phone,Email
Alcoholics Anonymous,Women's Group,Washington,215 E Market St,Johnson City,TN,37601,Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem.  It doesn’t cost anything to attend A.A. meetings. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem.,,,,,1,,,,,,,,,,https://www.aa.org/,,
Alcoholics Anonymous ,Green Pastures,Carter,546 Elk Ave,Elizabethton,TN,37643,Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem.  It doesn’t cost anything to attend A.A. meetings. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem.,,,,,1,,,,,,,,,,https://www.aa.org/,,
Alcoholics Anonymous ,Caring & Sharing,Greene,201 E Main St,Greeneville,TN,37745,Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem.  It doesn’t cost anything to attend A.A. meetings. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem.,,,,,1,,,,,,,,,,https://www.aa.org/,,
Alcoholics Anonymous ,Friday Night Out,Greene,107 W Church St,Greeneville,TN,37745,Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem.  It doesn’t cost anything to attend A.A. meetings. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem.,,,,,1,,,,,,,,,,https://www.aa.org/,,
Alcoholics Anonymous ,Lunch Bunch & Fearless Surrender,Greene,456 E Bernard Ave,Greeneville,TN,37745,Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem.  It doesn’t cost anything to attend A.A. meetings. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem.,,,,,1,,,,,,,,,,https://www.aa.org/,,
Alcoholics Anonymous ,Saturday Night Alive,Greene,685 Mt. Hebron Rd,Greeneville,TN,37743,Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem.  It doesn’t cost anything to attend A.A. meetings. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem.,,,,,1,,,,,,,,,,https://www.aa.org/,,
Alcoholics Anonymous ,Morristown Group,Hamblen,314 South Fairmont Ave,Morristown,TN,37813,Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem.  It doesn’t cost anything to attend A.A. meetings. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem.,,,,,1,,,,,,,,,,https://alcoholicsanonymous.com/aa-meetings/tennessee/morristown-tennessee/,,
Alcoholics Anonymous ,High Noon,Hawkins,203 Spring St,Rogersville,TN,37587,Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem.  It doesn’t cost anything to attend A.A. meetings. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem.,,,,,1,,,,,,,,,,https://www.aa.org/,,
Alcoholics Anonymous ,Rogersville Group,Hawkins,210 E Main St,Rogersville,TN,37587,Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem.  It doesn’t cost anything to attend A.A. meetings. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem.,,,,,1,,,,,,,,,,https://www.aa.org/,,
Alcoholics Anonymous ,I Am Responsible,Johnson,214 College St,Mountain City,TN,37683,Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem.  It doesn’t cost anything to attend A.A. meetings. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem.,,,,,1,,,,,,,,,,https://www.aa.org/,,
Alcoholics Anonymous ,Colonial Heights,Sullivan,213 Colonial Heights Rd,Kingsport,TN,37663,Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem.  It doesn’t cost anything to attend A.A. meetings. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem.,,,,,1,,,,,,,,,,https://www.aa.org/,,
Alcoholics Anonymous ,Friday Night BYOBB (Bring Your Own Big Book) & AA The Family Afterwards,Sullivan,225 Methodist Church St,Piney Flats,TN,37686,Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem.  It doesn’t cost anything to attend A.A. meetings. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem.,,,,,1,,,,,,,,,,https://www.aa.org/,,
Alcoholics Anonymous ,Memorial Recovery Group,Sullivan,322 Vance Dr,Bristol,TN,37620,Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem.  It doesn’t cost anything to attend A.A. meetings. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem.,,,,,1,,,,,,,,,,https://www.aa.org/,,
Alcoholics Anonymous ,Steady Hand,Sullivan,901 Lamont St,Kingsport,TN,37664,Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem.  It doesn’t cost anything to attend A.A. meetings. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem.,,,,,1,,,,,,,,,,https://www.aa.org/,,
Alcoholics Anonymous ,Sunday Evening Meeting,Sullivan,1567 N Eastman Rd,Kingsport,TN,37664,Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem.  It doesn’t cost anything to attend A.A. meetings. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem.,,,,,1,,,,,,,,,,https://www.aa.org/,,
Alcoholics Anonymous ,Erwin Group,Unicoi,312 S. Main Ave,Erwin,TN,37650,Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem.  It doesn’t cost anything to attend A.A. meetings. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem.,,,,,1,,,,,,,,,,https://www.aa.org/,,
Alcoholics Anonymous ,Broad Highway Group,Washington,2684 Boones Creek Rd,Johnson City,TN,37615,Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem.  It doesn’t cost anything to attend A.A. meetings. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem.,,,,,1,,,,,,,,,,https://www.aa.org/,,
Alcoholics Anonymous ,Central Group,Washington,213 E Maple St,Johnson City,TN,37601,Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem.  It doesn’t cost anything to attend A.A. meetings. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem.,,,,,1,,,,,,,,,,https://www.aa.org/,,
Alcoholics Anonymous ,Friday Night Meeting,Washington,500 N Roan St,Johnson City,TN,37601,Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem.  It doesn’t cost anything to attend A.A. meetings. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem.,,,,,1,,,,,,,,,,https://www.aa.org/,,
Alcoholics Anonymous ,Seekers Group,Washington,107 S 2nd Ave,Jonesborough,TN,37659,Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem.  It doesn’t cost anything to attend A.A. meetings. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem.,,,,,1,,,,,,,,,,https://www.aa.org/,,
Appalachian Counseling Centers,,Washington,502 Princeton Rd Suite B,Johnson City,TN,37601,,,,,,,,,,,,,1,,,,845-701-1852,
AveNew,,Sullivan,301 Louis St Suite 201,Kingsport,TN,37660,"AveNew is a community drug education and prevention coalition in Kingsport, Tennessee striving to create a healthy and safe community free of substance misuse.  Our goals include raising community awareness, increasing access to evidence-based prevention education for young people, reducing stigma surrounding substance use and recovery, and connecting those affected by addiction to available services and resources.  Members of the AveNew coalition are from diverse sectors of the community - business, law enforcement, schools, local government, health, media, parents, youth, and the faith-based community. ",,,,,,,1,,,,,,1,,https://www.uwaykpt.org/avenew,423.378.3409,
Ballad PEERHelp Program,,Washington,200 Med Tech Pkwy,Johnson City,TN,37604,"Calls to the peer line are answered by Certified Peer Recovery Specialists who have experienced substance use issues and mental health challenges in their lives.
They may provide emotional support, comfort and referrals to resources. All calls are strictly confidential.",,,,,,,,1,1,,,,,,https://www.balladhealth.org/mental-health/peerhelp,877-733-7457,Peer.help@balladhealth.org
Ballad Response Crisis Hotline,,Washington,303 Med Tech Pkwy,Johnson City,TN,37604,Call 1-800-366-1132 if you need immediate assistance with substance abuse or any other behavioral health issue. Our intervention help and crisis help line is available 24/7.,,,,,,,,,,,,1,,,"https://www.balladhealth.org/contact#:~:text=24%2F7%20crisis%20help%20line&text=Call%201%2D800%2D366%2D,any%20other%20behavioral%20health%20issue.",800-366-1132,
Breakthrough Medical Suboxone Clinic,,Washington,880 Boones Station Rd,Johnson City,TN,37615,"Founded in 2015 and located in Johnson City, TN, we are a state licensed and federally qualified outpatient clinic specializing in the treatment of opioid abuse. Through counseling and prescribing medication to treat opioid addiction, we strive to help you on your journey to life-long sobriety.",,,,,,,,,,,,1,,,https://www.breakthrough-medical.com/,423-722-3100,
Camelot of NE Tennessee,,Greene,15 Old Stage Rd Suite A,Greeneville,TN,37745,"Camelot of Northeast TN is a private foster care agency that is contracted by the state to provide resource homes for children who have been placed in state’s custody. We work with the child, the resource family, and the biological family to ensure the best possible outcome, by providing services and support such as counseling, 24-hour staff support and respite care. Foster parents receive free monthly trainings and monthly reimbursements to help offset the costs of adding a child to their household.",1,,,,,,,,,,,1,,,https://www.thecamelotdifference.com/northeast-tn,423-392-2975,
Camelot of NE Tennessee,,Sullivan,2971 Fort Henry Dr,Kingsport,TN,37664,"Camelot of Northeast TN provides mental health services for youth, adults, and families, including counseling, intensive therapy and family preservation services. We also specialize in foster care and adoption services.",1,,,,,,,,,,,1,,,https://www.thecamelotdifference.com/northeast-tn-kingsport,423-392-2975,
Caring Workplace Initiative,,Washington,3211 N. Roan St.,Johnson City,TN,37601,"Coordinated by the First Tennessee Development District (FTDD) a regional group of community partners is building an ecosystem to support employers and individuals in recovery or justice-involved. By becoming certified Caring Workplaces, businesses can demonstrate to others, their organizations' commitment to helping their current employees and their families with challenges associated with substance use disorder as well as give opportunities to those in recovery or justice involved, who deserve a second chance at employment.",1,,,,,,,,,1,,,,,https://www.caringworkplaces.org/,423-928-0224,caringworkplaces@ftdd.org
Carter County Drug Prevention (CCDP),,Carter,210 S Hills Dr,Elizabethton,TN,37643,"Mission: to reduce substance abuse through collaborative planning, community action, and policy advocacy.",,,,,,,1,,,,,,1,,https://cartercountydrugprevention.org/,423-439-7532,"Jilian Reece, 
director@cartercountydrugprevention.org"
Carter County Health Department,,Carter,403 E G St,Elizabethton,TN,37643,"BABY & ME – Tobacco Free Program™ is an evidence based, smoking cessation program created to reduce the burden of tobacco on the pregnant and postpartum population.",,,,,,,,,,,,1,,,https://www.tn.gov/health/health-program-areas/fhw/baby-me-tobacco-free.html,423-543-2521,
Catalyst Health Solutions,,Washington,926 W Oakland Ave #206,Johnson City,TN,37604,"Currently, CHS serves the communities in Upper East Tennessee and Southwest Virginia with a team of devoted physicians and healthcare professionals. CHS is a multi-disciplinary practice providing services for opioid dependency and addiction utilizing medication assisted treatment led by a team of Board Certified Addiction Specialists. Supportive services include psychiatry, OB/GYN, individual and group counseling, and social work. It is the mission of CHS to provide exceptional care and resources to each patient to meet individualized goals.",,,,,,,,,,,,1,,,https://catalysthealth.org/,423-282-3379,
Celebrate Recovery,Manley Baptist Church,Hamblen,3603 West Andrew Johnson Hwy,Morristown,TN,37814,Christ-Centered 12 Step Program.,,,,,1,,,,,,,,,,https://www.celebraterecovery.com/,,
Celebrate Recovery,Christ Fellowship,Sullivan,260 Victory Ln,Kingsport,TN,37664,Christ-Centered 12 Step Program.,,,,,1,,,,,,,,,,https://www.celebraterecovery.com/,,
Celebrate Recovery,Preaching Christ Church,Sullivan,707 E Sullivan St,Kingsport,TN,37660,Christ-Centered 12 Step Program.,,,,,1,,,,,,,,,,https://www.celebraterecovery.com/,,
Celebrate Recovery,Tennessee Ave Baptist Church,Sullivan,104 Cypress St,Bristol,TN,37620,Christ-Centered 12 Step Program.,,,,,1,,,,,,,,,,https://www.celebraterecovery.com/,,
Celebrate Recovery,Crossroads Christian Church,Washington,1300 Suncrest Dr,Gray,TN,37615,Christ-Centered 12 Step Program.,,,,,1,,,,,,,,,,https://www.celebraterecovery.com/,,
Celebrate Recovery ,Caldwell Spring Baptist Church,Carter,1509 Blue Springs Rd,Elizabethton,TN,37643,Christ-Centered 12 Step Program.,,,,,1,,,,,,,,,,https://www.celebraterecovery.com/,,
Celebrate Recovery ,First United Methodist Church,Cocke,212 Washington Ave,Newport,TN,37821,Christ-Centered 12 Step Program.,,,,,1,,,,,,,,,,https://www.celebraterecovery.com/,,
Celebrate Recovery ,Greeneville First Church of God,Greene,1505 W Main St,Greeneville,TN,37743,Christ-Centered 12 Step Program.,,,,,1,,,,,,,,,,https://www.celebraterecovery.com/,,
Celebrate Recovery ,Liberty Free Will Baptist Church,Greene,91 Guy Brown Rd,Chuckey,TN,37641,Christ-Centered 12 Step Program.,,,,,1,,,,,,,,,,https://www.celebraterecovery.com/,,
Celebrate Recovery ,Bloomingdale Baptist Church,Sullivan,3220 Bloomingdale Rd,Kingsport,TN,37660,Christ-Centered 12 Step Program.,,,,,1,,,,,,,,,,https://www.celebraterecovery.com/,,
Celebrate Recovery ,Crossroads United Methodist Church,Sullivan,200 Bays Cove Trail,Kingsport,TN,37660,Christ-Centered 12 Step Program.,,,,,1,,,,,,,,,,https://www.celebraterecovery.com/,,
Celebrate Recovery ,First Baptist Church,Sullivan,200 W Church Circle,Kingsport,TN,37660,Christ-Centered 12 Step Program.,,,,,1,,,,,,,,,,https://www.celebraterecovery.com/,,
Celebrate Recovery ,Hosannah Fellowship,Washington,715 Sunset Dr,Johnson City,TN,37604,Christ-Centered 12 Step Program.,,,,,1,,,,,,,,,,https://www.celebraterecovery.com/,,
Cocke County Health Department,,Cocke,430 College St,Newport,TN,37821,"BABY & ME – Tobacco Free Program™ is an evidence based, smoking cessation program created to reduce the burden of tobacco on the pregnant and postpartum population.",,,,,,,,,,,,1,,,https://www.tn.gov/health/health-program-areas/fhw/baby-me-tobacco-free.html,423-623-8733,
Comprehensive Community Services,Outpatient Treatment,Sullivan,702 E Sullivan St,Kingsport,TN,37660,"The IOP/OP Program is a dedicated program ready to help those individuals in need. This program is offered at times that allow consumers to continue to work, attend school and be with family. Consumers benefit from a successful modern, evidence-based program designed to balance personal recovery and family growth.",,,,,,,,,,,,1,,,http://ccstreatment.com/?page_id=10,423-765-2653,joyce.noto@ccstreatment.com
Comprehensive Community Services,Residential Treatment Center,Sullivan,6145 Temple Star Rd,Kingsport,TN,37660,"The residential program is based on the American Society of Addiction Medicine (ASAM) Levels of Care. CCS offers a structured regimen of care 24 hours a day where a client develops recovery skills using evidence based programs. This environment offers a defined set of policies and procedures, housed in a facility where a client can safely deal with the psychological, emotional and physical/spiritual aspects of addiction.",,,,,,,,,,,,1,,,http://ccstreatment.com/?page_id=10,423-349-4070,ccskptadmissions@aol.com
Comprehensive Community Services ,Outpatient Treatment,Greene,128 South Main St Suite 301,Greeneville,TN,37743,"The IOP/OP Program is a dedicated program ready to help those individuals in need. This program is offered at times that allow consumers to continue to work, attend school and be with family. Consumers benefit from a successful modern, evidence-based program designed to balance personal recovery and family growth.",,,,,,,,,,,,1,,,http://ccstreatment.com/?page_id=10,423-639-1370,johnftoney@yahoo.com
"Comprehensive Community Services Adolescent Treatment Facility ""The Farm""",,Greene,512 Oak Glen Cir,Fall Branch,TN,37656,"CCS’s Adolescent Treatment Facility (The Farm) is an eight (8) bed male facility that is CARF accredited and uses best practice guidelines with the most current treatment approaches available. This residential facility provides 24/7 supervision and treatment for adolescents with Alcohol, Drug and Co-occurring disorders.",,,,,,,,,,,,1,,,https://ccstreatment.com/?page_id=523,423-349-4070,ccskptadmissions@aol.com
Comprehensive Community Services Clinical (Social) Detoxification,,Sullivan,6145 Temple Star Road,Kingsport,TN,37660,Social Detox is a service that provides a 24-Hour safe non-medical therapeutic environment for alcohol and/or drug withdrawal.,,,,,,,,,,,,1,,,http://ccstreatment.com/?page_id=10,423-349-4070,ccskptadmissions@aol.com
Correctional Career Pathways: Journey to Hope,,Washington,1276 Gilbreath Dr,Johnson City,TN,37614,"The Correctional Career Pathways: Journey to Hope model program was established at the Greene County, Tennessee Workhouse in 2015 and has gained state and national acclaim for innovation and sustainability. The CCP program is led by a local multi-sector leadership team to give criminal offenders the opportunity to break the cycle of arrest and incarceration and transition successfully into the workforce. The program offers classes, job placement, counseling and transportation to qualified inmates. After instruction in life skills and special training, trustee inmates join the local workforce. A percentage of earnings is set aside to pay court-ordered costs, fees and restitution, while the remainder is placed in individual accounts for participating trustee inmates.",,,,,,,,,,1,,,,,https://www.etsu.edu/tniph/ccp.php,,"Ginny Kidwell,
kidwell@etsu.edu"
Creekside Behavioral Health Chemical Detox,,Sullivan,1025 Executive Park Blvd,Kingsport,TN,37660,"Inpatient and Outpatient programs available. When it comes to Chemical Dependency and the needs for specific Detoxification therapy, Creekside is second to none. We are able to offer free 24/7 on-site assessment and referral services to our patients, as well as a completely confidential assessment by a master’s level professional or psychiatric nurse. Diving into one’s specific past behaviors, as well as current symptoms, allows us to be able to determine the exact methodologies, treatments and therapies to recommend. ",,,,,,,,,,,,1,,,https://creeksidebh.com/how-we-help/chemical-detox-inpatient/,423-830-8110,
Crossroads Community Support Group - Pathways to Recovery,,Hawkins,117 Justice Center Dr,Rogersville,TN,37857,"Community-based support group open to anyone battling life-controlling issues, including family members and friends. Casual, non-judgmental environment to find support and community.",,,,,1,,,,,,,,,,https://www.facebook.com/groups/320254032209345/,,
Dragonfly Medical and Behavioral Health,,Washington,102 North Broadway St,Johnson City,TN,37604,"Substance Abuse Treatment includes: Buprenorphine treatment, Alcohol treatment, Smoking cessation, Marijuana cessation, Accupuncture Detoxification service",,,,,,,,,,,,1,,,https://www.dragonflymedicalandbehavioralhealth.com/,423-588-9978,
Drug Addicts Anonymous (DAA),423 Recovery,Sullivan,2837 Ashley St,Kingsport,TN,37664,Drug Addicts Anonymous is a fellowship of men and women who have recovered from addiction and are committed to helping those who still suffer. We have recovered by using the Twelve Steps as outlined in the book of Alcoholics Anonymous.,,,,,1,,,,,,,,,,https://daausa.org/,,
Drug Addicts Anonymous (DAA),The 4th Dimension Group,Washington,1109 Old Gray Station Rd,Johnson City,TN,37615,Drug Addicts Anonymous is a fellowship of men and women who have recovered from addiction and are committed to helping those who still suffer. We have recovered by using the Twelve Steps as outlined in the book of Alcoholics Anonymous.,,,,,1,,,,,,,,,,https://daausa.org/,,
Drug Addicts Anonymous (DAA) ,The Way Out,Sullivan,3763 US-11W,Blountville,TN,37617,Drug Addicts Anonymous is a fellowship of men and women who have recovered from addiction and are committed to helping those who still suffer. We have recovered by using the Twelve Steps as outlined in the book of Alcoholics Anonymous.,,,,,1,,,,,,,,,,https://daausa.org/,,
Drug Addicts Anonymous (DAA) ,The Firing Line,Washington,305 Christian Church Rd,Johnson City,TN,37615,Drug Addicts Anonymous is a fellowship of men and women who have recovered from addiction and are committed to helping those who still suffer. We have recovered by using the Twelve Steps as outlined in the book of Alcoholics Anonymous.,,,,,1,,,,,,,,,,https://daausa.org/,,
Drug Addicts Anonymous (DAA) - 423 Recovery,423 Recovery,Sullivan,1425 E Center St,Kingsport,TN,37664,Drug Addicts Anonymous is a fellowship of men and women who have recovered from addiction and are committed to helping those who still suffer. We have recovered by using the Twelve Steps as outlined in the book of Alcoholics Anonymous.,,,,,1,,,,,,,,,,https://daausa.org/,,
East Tennessee Counseling,,Sullivan,1627 US-11W,Bristol,TN,37620,East Tennessee Counseling offers an opiate addiction outpatient treatment program. Our recovery program is physician assisted and we have on-site counseling available.,,,,,,,,,,,,1,,,http://www.easttncounseling.com/index.html,423-274-0100,
East Tennessee Recovery,,Greene,522 Justis Dr,Greeneville,TN,37745,"East Tennessee Recovery offers outpatient addiction treatment programs at several locations across Tennessee & Virginia. At East Tennessee Recovery we believe in a integrated approach to treatment which involves treating the patient's mental, physical, and spiritual needs. Our facilities offer a comprehensive range of services at one location making treatment more convenient for our patients.  We provide you with a safe and positive environment to facilitate your recovery and healing. We understand that addiction is often rooted in issues with mental health and behavioral health. Our patients receive a phenomenal level of care that is built around our philosophy of treating everyone with respect and compassion.",,,,,,,,,,,,1,,,https://www.easttnrecovery.com/,423-972-4644,
East Tennessee Recovery,,Washington,2408 Susannah St,Johnson City,TN,37601,"East Tennessee Recovery offers outpatient addiction treatment programs at several locations across Tennessee & Virginia. At East Tennessee Recovery we believe in a integrated approach to treatment which involves treating the patient's mental, physical, and spiritual needs. Our facilities offer a comprehensive range of services at one location making treatment more convenient for our patients.  We provide you with a safe and positive environment to facilitate your recovery and healing. We understand that addiction is often rooted in issues with mental health and behavioral health. Our patients receive a phenomenal level of care that is built around our philosophy of treating everyone with respect and compassion.",,,,,,,,,,,,1,,,https://www.easttnrecovery.com/,423-434-6677,
East Tennessee State University,Family Medicine,Sullivan,208 Medical Park Blvd,Bristol,TN,37620,"ETSU Health providers are specially trained to work with people who struggle with substance abuse. Treatments: Medication Assisted Treatment for Substance Use Disorder, Primary Care, Behavioral Health, Resources Referral/Case Management, and Medication Management.",,,,,,,,,,,,1,,,https://www.etsuhealth.org/locations/family_medicine_bristol.php,423-989-4050,"Joyce Troxler, troxlerj@etsu.edu"
East Tennessee State University,Addiction Science Center,Washington,2109 W Market St,Johnson City,TN,37604,"The mission of the Addiction Science Center is to partner with affected communities in Central Appalachia to advance the science of substance misuse prevention and treatment. The Center accomplishes this mission by: Conducting innovative research and evaluation; Disseminating and implementing evidence-based prevention and treatment solutions; Educating and training health professionals; Engaging with and learning from the community to create lasting solutions; and Providing evidence-based, high quality clinical care.",,,,,,,,,,,,,1,,https://www.etsu.edu/cph/addiction-science-center/,,"Chris Lewis, lewiscl1@etsu.edu"
